,book_title,star,title,format,review,helpful,sentiment
32,"Craveable Keto: Your Low-Carb, High-Fat Roadmap to Weight Loss and Wellness (1)",5,Best keto cookbook!,Format: Paperback,"Every recipe is good, very good, or OMGosh delicious! The recipes are not difficult to make. I have bought other keto cookbooks where the pictures look beautiful but I was hard pressed to find even one recipe I would consider making a second time (too hard to make, weird ingredients, or not delicious at all).

Hoping the author, Kyndra Holley, will please consider writing a cookbook of make-ahead meals for people who come home from work too tired to do more than throw something in the oven or microwave. And/or please consider creating a cookbook of portable keto meals for people who need to eat breakfast in the car, eat lunch at their desk, and eat dinner in a hotel room. Thank you!",,1
33,"Craveable Keto: Your Low-Carb, High-Fat Roadmap to Weight Loss and Wellness (1)",5,Great variety of food choices,Format: Paperback,"This is my first book for preparing low carb/Keto friendly recipes. I had been so overwhelmed with all the advice about the keto lifestyle. I got Kyndra’s book Craveable Keto and all the questions turned into answers. Kyndra, thank you for sharing your wisdom and lifestyle throughout the entire book. It’s an inspiration to move forward with confidence I’m on the right track. Not to mention the great recipes. The variety and user friendly recipes are truly a gift to achieve my goals.",,1
34,"Craveable Keto: Your Low-Carb, High-Fat Roadmap to Weight Loss and Wellness (1)",5,Great Keto Cookbook!,Format: Paperback,"I absolutely love this keto cookbook! The pictures are gorgeous and the recipes are amazing. I especially love the thumbnail index categorized by meal type in the back of the book. ""What do I want to make for dinners this week? <flips to thumbnails> ""Those 3 look great!"" Dinners are now planned for week. Simply genius. The only thing I wish she had in this but didn't were the grams of fat and protein per serving. I'm on therapeutic keto for my migraines and those additions would be extremely helpful for planning purposes.",One person found this helpful,1
35,"Craveable Keto: Your Low-Carb, High-Fat Roadmap to Weight Loss and Wellness (1)",5,Kyndra has wonderful recipes! There are several from here that my ...,Format: Paperback,"Kyndra has wonderful recipes! There are several from here that my husband and I LOVE: ranch dressing, pork roll in a bowl, warm taco slaw. This book is certainly worth getting! To show how much I love this cookbook, I went to Staples today to get the binding removed, and replaced with a spiral binding so that the pages lie open easier. I was told they didn't have spiral binding large enough in the store and had to send it out, and I couldn't get it back until Wednesday. I was upset the book was going to be gone 5 days. BEST KETO COOKBOOK EVER!!!",,1
36,"Craveable Keto: Your Low-Carb, High-Fat Roadmap to Weight Loss and Wellness (1)",5,Best Keto Cookbook EVER!!!,Format: Paperback,"Best Keto Cookbook, I have found and I have read over 100 of them. I'm a professional chef, so my standards are high on multiple fronts. The recipes must be delicious, the recipes consistent, and the nutritional information correct. This cookbook is fantastic. I checked the math on a handful of recipes and they were perfect down to the second decimal. The recipes are inventive and flavorful and all can enrich your keto lifestyle. Enjoy!",One person found this helpful,1
37,"Craveable Keto: Your Low-Carb, High-Fat Roadmap to Weight Loss and Wellness (1)",5,"This newest book is filled with amazing recipes, new insights",Format: Paperback,"Kendra never disappoints! This newest book is filled with amazing recipes, new insights, great tips and hints, and inspiration too! I've successfully been following low-carb, keto for quite a while and one of the keys is to keep your menu fresh with creative new dishes. Kyndra offers new ways to look at foods you may have either never tried and/or new ways to prepare the ones you have. Most of all, you know all of this is coming from someone who is down to earth, who has learned what truly works and is able to share her journey and personal experience in a way will inspire you.",,1
38,"Craveable Keto: Your Low-Carb, High-Fat Roadmap to Weight Loss and Wellness (1)",5,THIS book is AWESOME! GREAT inspiring and delicious recipes!,Format: Paperback,"I love this book for many reasons - it has LOTS of clear, wonderful pictures - great writing, easy to understand too
BUT my favorite thing about this book BESIDES the awesome recipes? The pictorial index of ALL of the recipes with page numbers in the back of the book! It made it SO easy to find that recipe that I found reading through the book!! LOVED this feature! wish all cookbooks had it! I would urge anyone looking for inspiration on the KEO Way of life to grab this book - It's truly a KEEPER and will be on you shelf with other treasured books for a LONG time!",,1
39,"Craveable Keto: Your Low-Carb, High-Fat Roadmap to Weight Loss and Wellness (1)",5,Helpful for a Keto novice and delicious recipes!,Format: Paperback,"I’m really enjoying this book. My husband has been on and off low carb diets for years, I have 2 picky boys and I’m a twigs & berries salad carb addict! So dinner in my house was a challenge. I decided to do more to support my husband and improve my nutrition in the process. This book has great advice about shifting to a low carb, real food lifestyle. Every recipe we’ve tried has been a winner. Even my kids like the food! They actually ate pork egg roll in a bowl (cabbage, onions) with no complaints! Also, these recipes use ingredients easy to find in the grocery store. The exception being the Swerve sweetener products and the Lily’s chocolate chips, but those can be bought on Amazon. Recipes have a photo and easy to follow directions.",,1
40,"Craveable Keto: Your Low-Carb, High-Fat Roadmap to Weight Loss and Wellness (1)",5,The ingredients are easy to find,Format: Paperback,"I have made several recipes from Craveable Keto and every one of them have been well-received. The ingredients are easy to find, the recipes are easy to follow, and the pictures are great. AND she has nutritional information listed for each recipe. I bought other keto cookbooks that didn't include this information. I understand that carb count is for your specific ingredients but if I buy a book on ketogenic recipes, at a minimum, I expect nutritional information to be included. It's just plain lazy. Thank you Kyndra for such a great cookbook!",,1
41,"Craveable Keto: Your Low-Carb, High-Fat Roadmap to Weight Loss and Wellness (1)",5,Fantastic Book!,Format: Paperback,"I LOVE this book and all the others that I purchased (Keto Happy Hour and 30 Minute Keto). The recipes are truly delicious. I’ve never been able to stick to a diet because I love to eat good food. The beauty of this diet, using this book, is that the recipes are so good you feel like you are “eating bad” instead of eating healthy. I’ve lost 13 lbs in 30 days and my husband is down 20 pounds. Honestly, EVERY time I cook from these books, my family asks if this is supposed to be on our diet - it’s just so good. We had the scallops in beurre Blanc sauce last night and it was better than my favorite restaurant. Thank you so much and keep writing- I’ll be ready for your next book when it cones out.",One person found this helpful,1
43,"Craveable Keto: Your Low-Carb, High-Fat Roadmap to Weight Loss and Wellness (1)",5,Well I like to cook and used them every day especially during ...,Format: Paperback,"I have most of the latest Keto cookbooks and use them constantly on my 6 month Keto journey. So why do I need another one? Well I like to cook and used them every day especially during the past holidays. When I got Kyndra’s new book in January I wasn’t sure what to expect as I already had my go to favorite recipes. Kyndra absolutely hit it out of the park!!! Her recipes are a perfect fit for how I like to eat and I even learned a thing or two that I didn’t know. After reading and listening to numerous podcasts it was fun to pick up on new information. I don’t care how many Keto cook books you own, this one NEEDS to be in your library. Thanks Kyndra",2 people found this helpful,1
44,"Craveable Keto: Your Low-Carb, High-Fat Roadmap to Weight Loss and Wellness (1)",5,OMG - PERFECT KETO BOOK,Format: Paperback,"We just received our book.....We are in heaven!

It has pictures, nutritional info, net carbs (at the top of each page)....and stuff you thought you could never eat again.
It has coffees, sides, dips, breakfast, lunch, dinner, soups, slow cooker meals, and on and on. Has it all!

We recently started KETO and are scrambling to figure out ""what to make"".....YOU SAVED US ...instead of spending tons of time scouring the web looking for meals (with nutritional info).

Thank you for making this book!",,1
45,"Craveable Keto: Your Low-Carb, High-Fat Roadmap to Weight Loss and Wellness (1)",5,Freaking LOVE this book. I love her writing style and amazing recipes.,Format: Paperback,"I Freaking LOVE this book. I love her writing style and amazing recipes. You can also follow her on Instagram at PeaceLoveandlowcarb which is also great. I sat down and started reading Craveable Keto and I didn't just look at the recipes, I started it from the beginning and I got hooked because everything Kyndra says you can relate to! It's like she's talking to you individually, you're like OMG she knows me! She knows my struggles. I can't say enough good things. BUY IT you won't be disappointed it.",,1
46,"Craveable Keto: Your Low-Carb, High-Fat Roadmap to Weight Loss and Wellness (1)",5,EASY TO DO low carb recipes,Format: Paperback,"When I went on this keto journey, I first followed the author’s website, and the recipes available there blew me away. I kept noticing posts about this book, so I dove in.

I have cooked almost everything in Craveable Keto and I am amazed. Recipes are EASY, SATISFYING and DELCIOUS. I am 20 lbs down, I eat strictly out of this cookbook, I meal prep ahead (you simply must no matter what book you use) and eating has been EFFORTLESS. I have never felt so at easy with the keto nutritional plan. Worth investing in, for the chocolate chip cookies alone.",One person found this helpful,1
47,"Craveable Keto: Your Low-Carb, High-Fat Roadmap to Weight Loss and Wellness (1)",5,Best Cookbook Layout!,Format: Paperback,"This has become my favorite go-to cookbook. The recipes are not only tasty, but there is a full color picture of every recipe! (I hate cookbooks that only have a few pictures. You eat with your eyes first). Also, it has a picture index (as well as text). If I'm looking for an appetizer, there is a thumbnail picture of all of them on the same page. Genius!! Why don't more cookbooks do that? I haven't had a bad recipe yet. Love them all!",,1
48,"Craveable Keto: Your Low-Carb, High-Fat Roadmap to Weight Loss and Wellness (1)",5,"I can’t believe it, I can cook!",Format: Paperback,"This cookbook really change my view of the kitchen! I hated cooking and worse hated dieting, but keto and this cookbook changed my mind! I’ve tried something new everyday and even repeated my favorites in just two weeks! It has everything and I mean EVERYTHING, her story, tips and tricks, what you should have in your kitchen, every meal of the day, seasonings, dressings and sauces!! It’s easy to navigate and utilize. It’s truly the most amazing find! If for one second you hesitated I hope I can change your mind!! It makes my heart and belly super happy! I also just purchased her 30-minute ketogentic cooking cookbook and almost fell out when I saw the pumpkin cheesecake moose recipe! Buy this and thank me later! In fact buy both!",,1
49,"Craveable Keto: Your Low-Carb, High-Fat Roadmap to Weight Loss and Wellness (1)",5,Invaluable resource for everything Keto!,Format: Paperback,"Not only does this cookbook have amazing recipes it also has beautiful photos and in depth information about each and every one of the recipes. The recipes are amazing. You'll find recipes for food you never thought you would get to eat on keto.

Not only do you get those amazing recipes, she gives you 30 day meal plans for dairy free, nut free and egg free menus to meet your goals and find success.

Plus a ton of other information about meal prepping with tricks and tips for many areas such as food budgeting, meal planning, kitchen tools, her favorite products, etc. Etc.

It's a great book!!",,1
50,"Craveable Keto: Your Low-Carb, High-Fat Roadmap to Weight Loss and Wellness (1)",5,Cooking Keto? This cookbook is the BEST!,Format: Paperback,"I like to cook healthy and follow a Keto diet/lifestyle. I own several cookbooks and make meals for my family daily. After following Kendra on Instagram and seeing her amazing posts about her recipes and the final product, I wanted her cookbook! I love that the book has real life items - like the most amazing, flavorful salad dressings, how to mke Spanish rice (with cauliflower rice) that’s goes great with taco salads. The best purchase all year! If you love to cook tasty, healthy meals, you have to get this cookbook!!",One person found this helpful,1
51,"Craveable Keto: Your Low-Carb, High-Fat Roadmap to Weight Loss and Wellness (1)",5,Def worth the purchase!,Format: Paperback,"After starting keto, I got 2 cookbooks for Christmas and this one is awesome. It is way more than a cookbook and has a great deal of just keto info along with the author's personal journey. It has great pics and the recipes don't call for hard to find ingredients. At first glance I marked a bunch I wanted to try right off. I would highly recommend this book for ease of use, quality of info and author's genuine commitment to the keto lifestyle.",,1
52,"Craveable Keto: Your Low-Carb, High-Fat Roadmap to Weight Loss and Wellness (1)",5,"Seriously, the best cookbook I’ve ever owned!!",Format: Paperback,I can go on and on about how much I love this book. The recipes have literally changed my life. They are delish and simple to follow. The photos are vivid and gorgeous. I just love that you can spot Chewy in it. :) Most of all Kyndra is just wonderful. You can tell she poured her heart and soul into this to help us live a healthy lifestyle. Her story is so relatable and touching. I could see see us being friends if we were neighbors. I loved Lisa Frank pencils and all of my markers and pens too. Haha. Love this cookbook and amazingly so does my husband thanks to seeing how incredible keto can be with this book. Thanks Kyndra!,7 people found this helpful,1
54,"Craveable Keto: Your Low-Carb, High-Fat Roadmap to Weight Loss and Wellness (1)",5,You will not be disappointed! BEST keto book ever!,Format: Paperback,"This is one of THE BEST keto cookbooks I have ever read...and I have read a lot of them. The first part really spoke to me in so many ways I had not even thought of. I realized some things in my life that I need to work on other than just my food choices.. The recipes are amazing, easy and so so so delicious! I would recommend this to anyone whether they are keto or not. Can not wait for her next books to get here.",One person found this helpful,1
55,"Craveable Keto: Your Low-Carb, High-Fat Roadmap to Weight Loss and Wellness (1)",5,This cookbook keeps you satisfied and on track,Format: Paperback,"We've been on Keto for about four months. My husband and I have lost 53 pounds during this time and finding recipes like the ones in Cravable Keto has helped keep us on track. You don't feel like you are missing anything when you cook with this cookbook. The cauliflower potato salad is our favorite. Yum, yum, yum. The mason jar ice cream is delicious too.",One person found this helpful,1
56,"Craveable Keto: Your Low-Carb, High-Fat Roadmap to Weight Loss and Wellness (1)",5,Y’all I can’t say enough good things about this book,Format: Paperback,Y’all I can’t say enough good things about this book. Not only is it full of wonderful recipes but it also gives you background into Kyndra’s life and her struggle with weight loss. Personally I find it very important for the person writing a cookbook directed towards a certain way of life to understand what most of their readers are facing and to give the readers hope by saying “Look it worked for me it can work for you”. So far I haven’t cooked a recipe that I didn’t like yet and can’t wait to come home from work today and cook the next one for dinner.,,1
57,"Craveable Keto: Your Low-Carb, High-Fat Roadmap to Weight Loss and Wellness (1)",5,You need this book,Format: Paperback,Can you say yum? I’ve had this book for a few months and it is a staple. The recipes are amazing and delicious. If you want a winning dish every time you make it that the kids and the in-laws will love get this book. Even if you have no skill this book will make you a real cook. If you haven’t checked her blog or Instagram check them out. Kyndra is a real artist and inspiration.,One person found this helpful,1
58,"Craveable Keto: Your Low-Carb, High-Fat Roadmap to Weight Loss and Wellness (1)",5,Best cookbook in years,Format: Paperback,"I love this cookbook. The recipes are easy to understand and full of ingredients that are easy to get. There are many pages of helpful tips and information. The pictures are incredible. I've tried many of the recipes and each one has been a big hit with my family. We're personally not on the keto diet but are trying to eat low carb and this is the perfect book for us.
This is the most helpful, enjoyable cookbook I've bought in years.",,1
59,"Craveable Keto: Your Low-Carb, High-Fat Roadmap to Weight Loss and Wellness (1)",5,Definitely worth the money!,Format: Paperback,"First of all, the cookbook is beautiful. The photos, the layout, the graphics... so appealing! Second, the whole beginning prologue is a great intro to keto and also some serious motivation to get started. Third, THERE ARE WEEKLY MEAL PLANS!! Kyndra has several weekly meal plans all laid out in there so you can get started out as easily as possible. It’s a great resource! Lastly, everything I’ve tried so far has been delicious. Even some of the things I found questionable (pickled Brussels sprouts?) have been, if not entered into my weekly rotation, they’ve been worth a try. The whole cookbook is so inspirational.",,1
60,"Craveable Keto: Your Low-Carb, High-Fat Roadmap to Weight Loss and Wellness (1)",5,Best Keto Coookbook for Keto beginners and experts,Format: Paperback,"OMG! Kyndra Holley has written the BEST cookbook I have ever READ! Who reads a cookbook??? Usually you buy a cookbook for the recipes and use the one you want when you want. ""Craveable Keto"" is a great read -- I couldn't put it down and have recommended it to several friends. The recipes and meal plans are amazing. My husband loves the BBQ rub, and I'm a huge fan of the Garlic Parmesan Cream Sauce! Who needs Alfredo when you can make this sauce? Thank you Kyndra for sharing your journey with us readers.",2 people found this helpful,1
61,"Craveable Keto: Your Low-Carb, High-Fat Roadmap to Weight Loss and Wellness (1)",5,So much more than a cookbook!,Format: Paperback,"This is so much more than a cookbook! It is a fabulous introduction to the Keto lifestyle. It is inspiration and support on the journey. It is positive reinforcement and the voice of a best friend to come along side you during the trip.
Kyndra is real world. She focuses on finding fabulous Keto substitutions for your favorite 'comfort foods'. I've been cooking from this book - every meal for two weeks. I'm far from bored and simply amazed at how wonderful everything tastes and how simple she has made the transition. If you only buy one cookbook to get you started in this lifestyle...I recommend this be the book.",2 people found this helpful,1
62,"Craveable Keto: Your Low-Carb, High-Fat Roadmap to Weight Loss and Wellness (1)",5,"Beautiful, Inspirational and so much more that a cookbook!",Format: Paperback,"Beautiful, Inspirational and so much more that a cookbook! I bought this because I kept seeing Kyndra's posts on Instagram and each recipe looked so good. I didn't even know what Keto was! I said I would not by another cookbook, gave in and ordered. Well, this is not a ""cookbook"". Kyndra speaks to me and others with her story. There are robust assortments of meal plans, recipes and content for everyone in this book. The photography is gorgeous and the non-recipe content just as worthy of consumption as the recipes!",One person found this helpful,1
63,"Craveable Keto: Your Low-Carb, High-Fat Roadmap to Weight Loss and Wellness (1)",5,More than just a Cookbook!,Format: Kindle Edition,"Most importantly, the recipes I've tried in this book have been phenomenal and surprisingly simple to make (I'm not a natural in the kitchen) but I also like the fact that Kendra gives us a glimpse of who she is and where she's been on her journey. That personal touch was a nice, heart-warming surprise! I found that I could greatly identify with her struggles. All that to say, this is more than just a cookbook and I'm so glad I bought it!",One person found this helpful,1
76,"Craveable Keto: Your Low-Carb, High-Fat Roadmap to Weight Loss and Wellness (1)",5,This is my Keto Bible !,Format: Paperback,"Kyndra Holley's cookbooks are where all of my meals come from. I have had them for a couple of years now and am learning some of my favorites by heart now. The recipes are easy to follow with minimal ingredients and they all taste delicious. The biggest surprise of my life was seeing how mozarella cheese and cream cheese can make such good breads, bagels ets. I have Craveable and 30 minute keto cookbooks and understand that my new dairyfree one is being shipped on the 16th ! Thank you Kyndra for making our new lifestyle so rewarding and easy.",,1
77,"Craveable Keto: Your Low-Carb, High-Fat Roadmap to Weight Loss and Wellness (1)",5,Best cookbook I have ever purchased!,Format: Paperback,I don't normally do reviews for everything I purchase on Amazon but I love this cookbook so much I felt like I had to. About 3 months ago my husband decided to try Keto. I panicked about having to cook differently for him and then my young children. This cookbook has been a lifesaver. I try 2-3 new recipes a week. The ingredients are common items you can find in the grocery store and walmart. The recipes are easy to make and the best part is that they're delicious for the whole family! I highly recommend this book!,,1
78,"Craveable Keto: Your Low-Carb, High-Fat Roadmap to Weight Loss and Wellness (1)",5,Superbly written and delicious recipes!,Format: Paperback,"The best Keto cookbook out there! I've had several other keto cookbooks and every recipe i fixed from them needed to be fixed or flat out thrown away! That gets expensive and frustrating!! Every single recipe in Craveable Keto that I've followed to the letter has turned out superb! If you're doing the Keto, get this book...if you just want healthier alternatives, get this book! Kyndra really puts her heart into her books.",,1
79,"Craveable Keto: Your Low-Carb, High-Fat Roadmap to Weight Loss and Wellness (1)",5,Go-to Keto Cookbook,Format: Paperback,Got this book just before the holidays. Started flagging the recipes that I wanted to try and realized that it was most of the book. Started my keto diet a few weeks ago and have tried a number of recipes. Everything is wonderful! My husband cannot have liquid dairy so I have been able to substitute almond milk and butter for heavy cream when necessary. I am looking forward to getting her dairy free cookbook.,,1
80,"Craveable Keto: Your Low-Carb, High-Fat Roadmap to Weight Loss and Wellness (1)",5,Incredible,Format: Paperback,"What a beautiful book! Simply flipping through the pages makes you want to start cooking up a storm. I am one of those that wants to read through the whole book (even a cookbook) before actually starting something. I sat spellbound by Kyndra's bio. It so closely mirrored my own, especially the childhood part, that I wondered if someone had given her my own story, that I've never written! Kyndra - thank you for giving us an easy to use book, and making it so pretty that we WANT to use it. It's currently living on my coffee table as I pour over it each evening. It's pretty enough for a coffee table book.",,1
81,"Craveable Keto: Your Low-Carb, High-Fat Roadmap to Weight Loss and Wellness (1)",5,Love love love,Format: Paperback,"I'm sure this is probably repetitive of all the other 5 star reviews but I just have to say this book is life changing to the new to Keto. I keep this as my coffee table book and pick it up every time I'm meal planning. Sometimes it's to grab the ingredients from one of the irresistible recipes I'm dying to try (and have flagged with a million post-it notes) and sometimes I have a meal in my head I want to make and there's a component in here that I can use to sub in and make keto friendly. It's the first resource I check when meal planning, even before Pinterest! Love love love! Worth every penny!",,1
82,"Craveable Keto: Your Low-Carb, High-Fat Roadmap to Weight Loss and Wellness (1)",5,LOVE this book!,Format: Paperback,"This book is absolutely wonderful. I had been doing lazy keto for a couple of months, successfully, but I was getting bored with the same old food every day. I don’t always have time or energy to make myself new and different foods, I’m too busy feeding other people LOL. The recipes in this book are easy, not time-consuming at all, and it has helped me stay committed to this new way of eating and lifestyle. Highly recommend this book!",,1
83,"Craveable Keto: Your Low-Carb, High-Fat Roadmap to Weight Loss and Wellness (1)",5,My favorite Keto Cookbook!,Format: Paperback,"I’ve ordered several keto cookbooks and this one is by far my favorite! The recipes are very easy to follow, simple, which I like and the layout is perfect! There are pics of each thing next to the recipe, all your macros on the page and your net carbs at the top. The picture index makes it super easy to flip to and find exactly what your looking for in a snap! I take this cookbook with me every time I go out of town! Love it!",,1
84,"Craveable Keto: Your Low-Carb, High-Fat Roadmap to Weight Loss and Wellness (1)",5,I LOVE this book,Format: Paperback,"I LOVE this book! I don’t consider myself a good cook so the recipes are easy to follow and make. It’s also so much more than a cookbook with advice and stories, it’s like you get to know the author.",3 people found this helpful,1
85,"Craveable Keto: Your Low-Carb, High-Fat Roadmap to Weight Loss and Wellness (1)",5,Everything you need to start your lifestyle change!,Format: Paperback,"Received my copy Monday and have already made many items from the book. Kyndra made it very easy for me to be able to track all the nutritional information in each recipe and also helped to answer all my beginner keto/low carb questions such as what specific cooking products to purchase, where you can find them, shopping on a budget, tools needed, valuable tips while cooking and much,much more all within this one book! My husband has enjoyed all his keto style meals this week and that in my opinion is worth many stars alone! If you are new to keto/low carb this is the perfect cook book to not only give you amazing recipes but also provide you with a relatable back story and help build you up mentally while you start your journey!",One person found this helpful,1
87,"Craveable Keto: Your Low-Carb, High-Fat Roadmap to Weight Loss and Wellness (1)",5,"Best Keto, low carb cookbook available!",Format: Kindle Edition,"Beautifully written. I could identify fully with ""her story"". So interesting and heartfelt. I love the awesome pictures of every recipe, shows you how delicious each recipe will look. Kyndra is extremely talented with the recipes easy and kitchen friendly with the ingredients. Definitely recommend. I have it in Kindle and paperback, so it is accessible at home and away from home for possible referencing at a restaurant or grocery store",,1
88,"Craveable Keto: Your Low-Carb, High-Fat Roadmap to Weight Loss and Wellness (1)",5,Best of the best - buy this book.,Format: Paperback,"A friend of mine brought this book to lunch one day to show to me. She is in waaaaay better shape than me and I have been on the look out for a change in my eating lifestyle.... She recommended the lasagna and chocolate chip cookie dough bites.... I thought ‘Uh... *I* could eat like THAT’
I appreciate Kyndra’s Honesty and Openness in the first part of the book. It made me feel, once again ‘I could do this too’.
Since then my husband jumped on my low carb-sugar less lifestyle and we’ve begun planning meals. We LOVE everything we’ve made. I mean. Come on.... who wouldn’t. We have pizza, ice cream, lasagna, tacos (salad).... with Kyndra’s book and amazon and Thrive, we’ve begun to change our lifestyle for life and for our kids.
Thanks, Kyndra!!",,1
89,"Craveable Keto: Your Low-Carb, High-Fat Roadmap to Weight Loss and Wellness (1)",4,Good cookbook for a beginner,Format: Paperback,"I've enjoyed the Craveable Keto cookbook. The ingredients, for the most part, are easy to find. If not, Kyndra tells you where to get them. I've made the Everything Bagels and they are delicious. Not a ""real"" bagel in any sense of the word, but a perfect alternative. My husband has enjoyed the Bacon Cornless Muffins and the Lemon Pound cake. My only criticism would be how the portions are listed. I would prefer if portions would be referenced by cup or weight.",2 people found this helpful,1
