,book_title,star,title,format,review,helpful,sentiment
12,"Fruit Infused Water: 80 Vitamin Water Recipes for Weight Loss, Health and Detox Cleanse (Vitamin Water, Fruit Infused Water, Natural Herbal Remedies, Detox Diet, Liver Cleanse)",5,My healthy guide to drinking water,Format: Paperback,Love this book everyone should purchase this book great idea on how to drink water if you don't like water . A lot of great tips to stay cool and healthy,One person found this helpful,1
13,"Fruit Infused Water: 80 Vitamin Water Recipes for Weight Loss, Health and Detox Cleanse (Vitamin Water, Fruit Infused Water, Natural Herbal Remedies, Detox Diet, Liver Cleanse)",4,Good collection!,Format: Paperback,There are some pretty interesting recipes I wouldn't have thought of!,One person found this helpful,1
14,"Fruit Infused Water: 80 Vitamin Water Recipes for Weight Loss, Health and Detox Cleanse (Vitamin Water, Fruit Infused Water, Natural Herbal Remedies, Detox Diet, Liver Cleanse)",5,Try it...you will be Happy.,Format: Kindle Edition,Loooooove this. Used all Sumner...refreshing especially with strawberries....yes strawberries with a touch of organic sugar....Tasty and thirst quenching. Now using it for tea....Love it!!!! And Its Pretty. Gleans easy eith the stainless steel basket.,,1
15,"Fruit Infused Water: 80 Vitamin Water Recipes for Weight Loss, Health and Detox Cleanse (Vitamin Water, Fruit Infused Water, Natural Herbal Remedies, Detox Diet, Liver Cleanse)",4,Great gift for hypochondriac,Format: Paperback,It’s love/hate for me on this one. My mom loves it and I finally bought a good gift. Downside is now I never get to drink regular water with them at get togethers. So bring some vodka and call it day.,,1
16,"Fruit Infused Water: 80 Vitamin Water Recipes for Weight Loss, Health and Detox Cleanse (Vitamin Water, Fruit Infused Water, Natural Herbal Remedies, Detox Diet, Liver Cleanse)",5,Absolutely Awesome,Format: Kindle Edition,I truly enjoy this product and I plan on purchasing it as a gift for my children & their families. My older grandchildren play high school sports & I believe it would be of benefit to them immensely. Recipes are easy to follow & easy to create your own!,One person found this helpful,1
17,"Fruit Infused Water: 80 Vitamin Water Recipes for Weight Loss, Health and Detox Cleanse (Vitamin Water, Fruit Infused Water, Natural Herbal Remedies, Detox Diet, Liver Cleanse)",5,Must have recipe book,Format: Paperback,"Love the recipes in the book! Easy to use, read, and realistic ingredients of every day fruits and/or vegetables one may have or can easily purchase.",,1
18,"Fruit Infused Water: 80 Vitamin Water Recipes for Weight Loss, Health and Detox Cleanse (Vitamin Water, Fruit Infused Water, Natural Herbal Remedies, Detox Diet, Liver Cleanse)",5,Five Stars,Format: Paperback,great detail and explanation of benefits,One person found this helpful,1
19,"Fruit Infused Water: 80 Vitamin Water Recipes for Weight Loss, Health and Detox Cleanse (Vitamin Water, Fruit Infused Water, Natural Herbal Remedies, Detox Diet, Liver Cleanse)",5,So much fun! And the end results are delicious!!,Format: Paperback,"I keep calling it a water cookbook, but you know what, it is amazing!!!! A lot of fantastic recipes!!!! You will be pleasantly surprised at just how much u can do with water!",3 people found this helpful,1
20,"Fruit Infused Water: 80 Vitamin Water Recipes for Weight Loss, Health and Detox Cleanse (Vitamin Water, Fruit Infused Water, Natural Herbal Remedies, Detox Diet, Liver Cleanse)",5,Love this book,Format: Paperback,Started Infusing my water. Love this book.,One person found this helpful,1
21,"Fruit Infused Water: 80 Vitamin Water Recipes for Weight Loss, Health and Detox Cleanse (Vitamin Water, Fruit Infused Water, Natural Herbal Remedies, Detox Diet, Liver Cleanse)",5,great info,Format: Paperback,I have now bought 3 of these for me and two friends,One person found this helpful,1
121,"Fruit Infused Water: 80 Vitamin Water Recipes for Weight Loss, Health and Detox Cleanse (Vitamin Water, Fruit Infused Water, Natural Herbal Remedies, Detox Diet, Liver Cleanse)",5,Good price!,Format: Paperback,Lots of recipes and super simple to make. Can't wait to use them all.,,1
122,"Fruit Infused Water: 80 Vitamin Water Recipes for Weight Loss, Health and Detox Cleanse (Vitamin Water, Fruit Infused Water, Natural Herbal Remedies, Detox Diet, Liver Cleanse)",5,As posted,Format: Paperback,Just as posted,,1
123,"Fruit Infused Water: 80 Vitamin Water Recipes for Weight Loss, Health and Detox Cleanse (Vitamin Water, Fruit Infused Water, Natural Herbal Remedies, Detox Diet, Liver Cleanse)",5,Five Stars,Format: Paperback,Was a gift! No complaints!,,1
124,"Fruit Infused Water: 80 Vitamin Water Recipes for Weight Loss, Health and Detox Cleanse (Vitamin Water, Fruit Infused Water, Natural Herbal Remedies, Detox Diet, Liver Cleanse)",4,Easy and Tasty,Format: Paperback,"Good recipes,easy to follow and the ones I've tried were very tasty.i brought two kept one for mysel and gave the other as a gift.",,1
125,"Fruit Infused Water: 80 Vitamin Water Recipes for Weight Loss, Health and Detox Cleanse (Vitamin Water, Fruit Infused Water, Natural Herbal Remedies, Detox Diet, Liver Cleanse)",5,I really love this book,Format: Paperback,"I really love this book, so many ideas and suggestions for another way to add flavor to my water. Just regular water has always been an issue for me. This way i get some flavor and feel better about drinking 64+ ounces of water a day. Thank you",,1
126,"Fruit Infused Water: 80 Vitamin Water Recipes for Weight Loss, Health and Detox Cleanse (Vitamin Water, Fruit Infused Water, Natural Herbal Remedies, Detox Diet, Liver Cleanse)",5,Five Stars,Format: Paperback,Lots of yummy infused H2O recipes.,,1
127,"Fruit Infused Water: 80 Vitamin Water Recipes for Weight Loss, Health and Detox Cleanse (Vitamin Water, Fruit Infused Water, Natural Herbal Remedies, Detox Diet, Liver Cleanse)",5,Jazzy solution,Format: Paperback,Such a great way to jazz up boring water,,1
128,"Fruit Infused Water: 80 Vitamin Water Recipes for Weight Loss, Health and Detox Cleanse (Vitamin Water, Fruit Infused Water, Natural Herbal Remedies, Detox Diet, Liver Cleanse)",5,Birthday gift,Format: Paperback,Birthday gift for my granddaughter. Bought it and a infuser. She loved it.,,1
129,"Fruit Infused Water: 80 Vitamin Water Recipes for Weight Loss, Health and Detox Cleanse (Vitamin Water, Fruit Infused Water, Natural Herbal Remedies, Detox Diet, Liver Cleanse)",5,Five Stars,Format: Paperback,Great ideas for your infused water bottle!,,1
130,"Fruit Infused Water: 80 Vitamin Water Recipes for Weight Loss, Health and Detox Cleanse (Vitamin Water, Fruit Infused Water, Natural Herbal Remedies, Detox Diet, Liver Cleanse)",5,All the Rage!,Format: Kindle Edition,Timely book as this is one of the most pinned items on Pinterest at the moment. My favorite was the Ginger/Pear infusion. Well Done!,,1
132,"Fruit Infused Water: 80 Vitamin Water Recipes for Weight Loss, Health and Detox Cleanse (Vitamin Water, Fruit Infused Water, Natural Herbal Remedies, Detox Diet, Liver Cleanse)",5,Cute book. Author has some grammatical issues but who's ...,Format: Paperback,"Cute book.
Author has some grammatical issues but who's to say I won't when I publish my book. :)",,1
133,"Fruit Infused Water: 80 Vitamin Water Recipes for Weight Loss, Health and Detox Cleanse (Vitamin Water, Fruit Infused Water, Natural Herbal Remedies, Detox Diet, Liver Cleanse)",5,Good booklet.,Format: Paperback,"Good information and ideas, plus variety of ""recipes.""",,1
134,"Fruit Infused Water: 80 Vitamin Water Recipes for Weight Loss, Health and Detox Cleanse (Vitamin Water, Fruit Infused Water, Natural Herbal Remedies, Detox Diet, Liver Cleanse)",5,Five Stars,Format: Paperback,like it,,1
135,"Fruit Infused Water: 80 Vitamin Water Recipes for Weight Loss, Health and Detox Cleanse (Vitamin Water, Fruit Infused Water, Natural Herbal Remedies, Detox Diet, Liver Cleanse)",5,Five Stars,Format: Paperback,Gave as a gift,,1
136,"Fruit Infused Water: 80 Vitamin Water Recipes for Weight Loss, Health and Detox Cleanse (Vitamin Water, Fruit Infused Water, Natural Herbal Remedies, Detox Diet, Liver Cleanse)",5,Water Recipes,Format: Paperback,I love the book-so many good recipes.,One person found this helpful,1
137,"Fruit Infused Water: 80 Vitamin Water Recipes for Weight Loss, Health and Detox Cleanse (Vitamin Water, Fruit Infused Water, Natural Herbal Remedies, Detox Diet, Liver Cleanse)",5,Five Stars,Format: Paperback,Great book! Arrived in perfect condition!,One person found this helpful,1
138,"Fruit Infused Water: 80 Vitamin Water Recipes for Weight Loss, Health and Detox Cleanse (Vitamin Water, Fruit Infused Water, Natural Herbal Remedies, Detox Diet, Liver Cleanse)",5,Infused Water Recipes,Format: Kindle Edition,I love the recipes and variety of the infused water.,,1
139,"Fruit Infused Water: 80 Vitamin Water Recipes for Weight Loss, Health and Detox Cleanse (Vitamin Water, Fruit Infused Water, Natural Herbal Remedies, Detox Diet, Liver Cleanse)",5,Interesting!,Format: Paperback,My mom loves it! I'm glad I ordered it! Has interesting recipes! :),One person found this helpful,1
140,"Fruit Infused Water: 80 Vitamin Water Recipes for Weight Loss, Health and Detox Cleanse (Vitamin Water, Fruit Infused Water, Natural Herbal Remedies, Detox Diet, Liver Cleanse)",4,I like that the book tells you if recipe is for ...,Format: Paperback,Simple recipes . I wish recipes were sized for water bottles as well as pitchers. I like that the book tells you if recipe is for detox or hydrating etc. would like to see ones with more herbs or veggies,,1
141,"Fruit Infused Water: 80 Vitamin Water Recipes for Weight Loss, Health and Detox Cleanse (Vitamin Water, Fruit Infused Water, Natural Herbal Remedies, Detox Diet, Liver Cleanse)",4,Four Stars,Format: Paperback,This product came in great condition. Though it isn't what I really expected.,,1
165,"Fruit Infused Water: 80 Vitamin Water Recipes for Weight Loss, Health and Detox Cleanse (Vitamin Water, Fruit Infused Water, Natural Herbal Remedies, Detox Diet, Liver Cleanse)",5,Five Stars,Format: Paperback,Good recipes!,,1
166,"Fruit Infused Water: 80 Vitamin Water Recipes for Weight Loss, Health and Detox Cleanse (Vitamin Water, Fruit Infused Water, Natural Herbal Remedies, Detox Diet, Liver Cleanse)",5,Five Stars,Format: Paperback,Love it.,,1
167,"Fruit Infused Water: 80 Vitamin Water Recipes for Weight Loss, Health and Detox Cleanse (Vitamin Water, Fruit Infused Water, Natural Herbal Remedies, Detox Diet, Liver Cleanse)",5,Five Stars,Format: Paperback,wonderful book full of great ideas,,1
168,"Fruit Infused Water: 80 Vitamin Water Recipes for Weight Loss, Health and Detox Cleanse (Vitamin Water, Fruit Infused Water, Natural Herbal Remedies, Detox Diet, Liver Cleanse)",5,Fruit Infused Wafer---Tasty!!!,Format: Kindle Edition,"Fruit a Infused Water is an impressive recipe book that takes a healthy concept and twists it! The author shows you just how this specialty all natural water can help build your mind and body strong!
The recipes are each unique and simplistic. I like the fact each one also talks about health gain.
There really is something in here for everyone. If you are interested in giving infused water a try. I suggest you start with this refreshing and expert introductory book! Well done!",One person found this helpful,1
169,"Fruit Infused Water: 80 Vitamin Water Recipes for Weight Loss, Health and Detox Cleanse (Vitamin Water, Fruit Infused Water, Natural Herbal Remedies, Detox Diet, Liver Cleanse)",5,Great recipe book,Format: Paperback,This book has so many recipes. It gave me great ideas on the fruits and vegetables that I can use. I am so glad that I bought it.,,1
170,"Fruit Infused Water: 80 Vitamin Water Recipes for Weight Loss, Health and Detox Cleanse (Vitamin Water, Fruit Infused Water, Natural Herbal Remedies, Detox Diet, Liver Cleanse)",5,Awesome,Format: Paperback,Fun gift for friend,,1
171,"Fruit Infused Water: 80 Vitamin Water Recipes for Weight Loss, Health and Detox Cleanse (Vitamin Water, Fruit Infused Water, Natural Herbal Remedies, Detox Diet, Liver Cleanse)",5,V,Format: Paperback,Great resource book,,1
172,"Fruit Infused Water: 80 Vitamin Water Recipes for Weight Loss, Health and Detox Cleanse (Vitamin Water, Fruit Infused Water, Natural Herbal Remedies, Detox Diet, Liver Cleanse)",5,My Favorite Thing,Format: Kindle Edition,"Initially gave four stars because many of author's recipes are free online, however, I enjoy my infused waters so much thanks to this author, I had to give five stars. My blood pressure actually improved after drinking the homemade infused waters. They are so delicious that drinking enough water to stay properly hydrated is no longer an issue. No more dry chapped lips or dry itchy skin. I have stopped drinking carbonated drinks and pseudo-juice drinks. I'm just healthier for switching my drink choices to water....infused water, that is. Current BP: 109/73, Heart Rate 58 bpm. Best results I have had in decades!! I'm sure my overall lifestyle contributes to these great numbers but the infused water plays a major role. Thank you Mr. Smith for ""my"" introduction to the world of infused water. Oh yes! I'm currently drinking water infused with hibiscus flowers, cinnamon sticks, and sliced red delicious apple. Simple, yet oh so very, very good!",56 people found this helpful,1
173,"Fruit Infused Water: 80 Vitamin Water Recipes for Weight Loss, Health and Detox Cleanse (Vitamin Water, Fruit Infused Water, Natural Herbal Remedies, Detox Diet, Liver Cleanse)",5,i like the fact that it does reduces my,Format: Paperback,"it really has agreat taste and , i like the fact that it does reduces my appetite",,1
174,"Fruit Infused Water: 80 Vitamin Water Recipes for Weight Loss, Health and Detox Cleanse (Vitamin Water, Fruit Infused Water, Natural Herbal Remedies, Detox Diet, Liver Cleanse)",5,Review,Format: Paperback,Love the book. Thank you,,1
187,"Fruit Infused Water: 80 Vitamin Water Recipes for Weight Loss, Health and Detox Cleanse (Vitamin Water, Fruit Infused Water, Natural Herbal Remedies, Detox Diet, Liver Cleanse)",4,It great!,Format: Kindle Edition,Many delicious water combo's. It great!,,1
188,"Fruit Infused Water: 80 Vitamin Water Recipes for Weight Loss, Health and Detox Cleanse (Vitamin Water, Fruit Infused Water, Natural Herbal Remedies, Detox Diet, Liver Cleanse)",5,Five Stars,Format: Kindle Edition,Love it!!!!,,1
189,"Fruit Infused Water: 80 Vitamin Water Recipes for Weight Loss, Health and Detox Cleanse (Vitamin Water, Fruit Infused Water, Natural Herbal Remedies, Detox Diet, Liver Cleanse)",4,Four Stars,Format: Paperback,Love the recipes,,1
190,"Fruit Infused Water: 80 Vitamin Water Recipes for Weight Loss, Health and Detox Cleanse (Vitamin Water, Fruit Infused Water, Natural Herbal Remedies, Detox Diet, Liver Cleanse)",5,Five Stars,Format: Paperback,great,,1
191,"Fruit Infused Water: 80 Vitamin Water Recipes for Weight Loss, Health and Detox Cleanse (Vitamin Water, Fruit Infused Water, Natural Herbal Remedies, Detox Diet, Liver Cleanse)",5,Delicious Recipes,Format: Kindle Edition,"I am so glad I bought this book. My doctor keeps after me to drink more water and I do not like plain water. These recipes are delicious, I have made several of them and find them all to be great. Most of the recipes are inexpensive to make. I am now drinking more water so everyone is happy.",4 people found this helpful,1
192,"Fruit Infused Water: 80 Vitamin Water Recipes for Weight Loss, Health and Detox Cleanse (Vitamin Water, Fruit Infused Water, Natural Herbal Remedies, Detox Diet, Liver Cleanse)",5,Five Stars,Format: Kindle Edition,Great,,1
193,"Fruit Infused Water: 80 Vitamin Water Recipes for Weight Loss, Health and Detox Cleanse (Vitamin Water, Fruit Infused Water, Natural Herbal Remedies, Detox Diet, Liver Cleanse)",4,Four Stars,Format: Kindle Edition,Good ideas.,,1
194,"Fruit Infused Water: 80 Vitamin Water Recipes for Weight Loss, Health and Detox Cleanse (Vitamin Water, Fruit Infused Water, Natural Herbal Remedies, Detox Diet, Liver Cleanse)",4,Four Stars,Format: Paperback,Good with lots of fruit ideas to make your water taste delicious. :),,1
195,"Fruit Infused Water: 80 Vitamin Water Recipes for Weight Loss, Health and Detox Cleanse (Vitamin Water, Fruit Infused Water, Natural Herbal Remedies, Detox Diet, Liver Cleanse)",4,Four Stars,Format: Paperback,Great recipes in this book and easy too!,,1
196,"Fruit Infused Water: 80 Vitamin Water Recipes for Weight Loss, Health and Detox Cleanse (Vitamin Water, Fruit Infused Water, Natural Herbal Remedies, Detox Diet, Liver Cleanse)",5,Five Stars,Format: Paperback,Very easy recipe:,,1
209,"Fruit Infused Water: 80 Vitamin Water Recipes for Weight Loss, Health and Detox Cleanse (Vitamin Water, Fruit Infused Water, Natural Herbal Remedies, Detox Diet, Liver Cleanse)",5,Yummy,Format: Kindle Edition,easy read. a lot of choices that I never would have thought about. I started to make fruit infused water last summer.,,1
210,"Fruit Infused Water: 80 Vitamin Water Recipes for Weight Loss, Health and Detox Cleanse (Vitamin Water, Fruit Infused Water, Natural Herbal Remedies, Detox Diet, Liver Cleanse)",5,Five Stars,Format: Paperback,Love trying new infused water to make me healthy,,1
211,"Fruit Infused Water: 80 Vitamin Water Recipes for Weight Loss, Health and Detox Cleanse (Vitamin Water, Fruit Infused Water, Natural Herbal Remedies, Detox Diet, Liver Cleanse)",5,Five Stars,Format: Paperback,love all the recipes ... great book,,1
212,"Fruit Infused Water: 80 Vitamin Water Recipes for Weight Loss, Health and Detox Cleanse (Vitamin Water, Fruit Infused Water, Natural Herbal Remedies, Detox Diet, Liver Cleanse)",5,Big help when it comes to infusing.,Format: Paperback,"Since I am new to infusion, this was a tremendous help. It not only provides recipes for infusing but tell you what to use when if trying to target an issue. So happy I got it. Lots of info packed into this book.",One person found this helpful,1
213,"Fruit Infused Water: 80 Vitamin Water Recipes for Weight Loss, Health and Detox Cleanse (Vitamin Water, Fruit Infused Water, Natural Herbal Remedies, Detox Diet, Liver Cleanse)",5,I love trying new combos,Format: Paperback,Some neat ideas. I love trying new combos.,,1
214,"Fruit Infused Water: 80 Vitamin Water Recipes for Weight Loss, Health and Detox Cleanse (Vitamin Water, Fruit Infused Water, Natural Herbal Remedies, Detox Diet, Liver Cleanse)",5,"Lots of Variety, Handy, and Simple to Follow",Format: Paperback,"I wanted something I could easily put my hands on in order to vary my flavored water. There are lots of good combos in here that one can try as written, or piggyback on by adding something here and there to customize the flavor.",,1
215,"Fruit Infused Water: 80 Vitamin Water Recipes for Weight Loss, Health and Detox Cleanse (Vitamin Water, Fruit Infused Water, Natural Herbal Remedies, Detox Diet, Liver Cleanse)",5,Five Stars,Format: Paperback,This is a wonderful book with great recipes.,One person found this helpful,1
216,"Fruit Infused Water: 80 Vitamin Water Recipes for Weight Loss, Health and Detox Cleanse (Vitamin Water, Fruit Infused Water, Natural Herbal Remedies, Detox Diet, Liver Cleanse)",4,"great recipes, but not very intersting inside of book",Format: Paperback,"great recipes , but not very intersting inside of book",One person found this helpful,1
217,"Fruit Infused Water: 80 Vitamin Water Recipes for Weight Loss, Health and Detox Cleanse (Vitamin Water, Fruit Infused Water, Natural Herbal Remedies, Detox Diet, Liver Cleanse)",5,Five Stars,Format: Paperback,Very helpful recipes,One person found this helpful,1
218,"Fruit Infused Water: 80 Vitamin Water Recipes for Weight Loss, Health and Detox Cleanse (Vitamin Water, Fruit Infused Water, Natural Herbal Remedies, Detox Diet, Liver Cleanse)",5,Five Stars,Format: Paperback,Item as described!,One person found this helpful,1
231,"Fruit Infused Water: 80 Vitamin Water Recipes for Weight Loss, Health and Detox Cleanse (Vitamin Water, Fruit Infused Water, Natural Herbal Remedies, Detox Diet, Liver Cleanse)",5,Great Product and Seller,Format: Paperback,Super fast and great product!,,1
232,"Fruit Infused Water: 80 Vitamin Water Recipes for Weight Loss, Health and Detox Cleanse (Vitamin Water, Fruit Infused Water, Natural Herbal Remedies, Detox Diet, Liver Cleanse)",5,Five Stars,Format: Paperback,Great,,1
233,"Fruit Infused Water: 80 Vitamin Water Recipes for Weight Loss, Health and Detox Cleanse (Vitamin Water, Fruit Infused Water, Natural Herbal Remedies, Detox Diet, Liver Cleanse)",5,Five Stars,Format: Paperback,thanks,,1
234,"Fruit Infused Water: 80 Vitamin Water Recipes for Weight Loss, Health and Detox Cleanse (Vitamin Water, Fruit Infused Water, Natural Herbal Remedies, Detox Diet, Liver Cleanse)",5,Five Stars,Format: Paperback,Great,,1
235,"Fruit Infused Water: 80 Vitamin Water Recipes for Weight Loss, Health and Detox Cleanse (Vitamin Water, Fruit Infused Water, Natural Herbal Remedies, Detox Diet, Liver Cleanse)",5,Five Stars,Format: Paperback,great books,,1
236,"Fruit Infused Water: 80 Vitamin Water Recipes for Weight Loss, Health and Detox Cleanse (Vitamin Water, Fruit Infused Water, Natural Herbal Remedies, Detox Diet, Liver Cleanse)",5,Five Stars,Format: Paperback,very nice,,1
237,"Fruit Infused Water: 80 Vitamin Water Recipes for Weight Loss, Health and Detox Cleanse (Vitamin Water, Fruit Infused Water, Natural Herbal Remedies, Detox Diet, Liver Cleanse)",5,Five Stars,Format: Paperback,Great recipes,,1
238,"Fruit Infused Water: 80 Vitamin Water Recipes for Weight Loss, Health and Detox Cleanse (Vitamin Water, Fruit Infused Water, Natural Herbal Remedies, Detox Diet, Liver Cleanse)",4,Nice book just be careful of what water bottle you choose.,Format: Paperback,Interesting book with lots of good ideas.,,1
239,"Fruit Infused Water: 80 Vitamin Water Recipes for Weight Loss, Health and Detox Cleanse (Vitamin Water, Fruit Infused Water, Natural Herbal Remedies, Detox Diet, Liver Cleanse)",5,Hot Guy.,Format: Paperback,The author's picture is on the back. He's kinda hot.,,1
240,"Fruit Infused Water: 80 Vitamin Water Recipes for Weight Loss, Health and Detox Cleanse (Vitamin Water, Fruit Infused Water, Natural Herbal Remedies, Detox Diet, Liver Cleanse)",5,all were good.,Format: Paperback,"Tried quite a few recipes, all were good.",,1
242,"Fruit Infused Water: 80 Vitamin Water Recipes for Weight Loss, Health and Detox Cleanse (Vitamin Water, Fruit Infused Water, Natural Herbal Remedies, Detox Diet, Liver Cleanse)",5,Great Little Book!,Format: Kindle Edition,"Easy to read & understand. Explanations are informative and helpful. Easy to do and inexpensive. Nice to be able to browse through a book and go into the kitchen and put it into practice. I'm drinking infused water that I put together..I know what's in it, I can customize my water and because it's so easy I can make a few different flavors at once. Good for beginners and will make you realize you're only limited by your imagination and taste. Great way to get anyone to drink more water, kids will want to make their own and with a little help they can. A great habit to start early. Great little book!",11 people found this helpful,1
243,"Fruit Infused Water: 80 Vitamin Water Recipes for Weight Loss, Health and Detox Cleanse (Vitamin Water, Fruit Infused Water, Natural Herbal Remedies, Detox Diet, Liver Cleanse)",5,Five Stars,Format: Paperback,Love,,1
244,"Fruit Infused Water: 80 Vitamin Water Recipes for Weight Loss, Health and Detox Cleanse (Vitamin Water, Fruit Infused Water, Natural Herbal Remedies, Detox Diet, Liver Cleanse)",5,Five Stars,Format: Paperback,This was a gift and the recipient was very pleased,,1
245,"Fruit Infused Water: 80 Vitamin Water Recipes for Weight Loss, Health and Detox Cleanse (Vitamin Water, Fruit Infused Water, Natural Herbal Remedies, Detox Diet, Liver Cleanse)",4,Four Stars,Format: Paperback,It was an appreciated gift.,,1
246,"Fruit Infused Water: 80 Vitamin Water Recipes for Weight Loss, Health and Detox Cleanse (Vitamin Water, Fruit Infused Water, Natural Herbal Remedies, Detox Diet, Liver Cleanse)",4,Four Stars,Format: Paperback,Great addition to the bottle.,,1
247,"Fruit Infused Water: 80 Vitamin Water Recipes for Weight Loss, Health and Detox Cleanse (Vitamin Water, Fruit Infused Water, Natural Herbal Remedies, Detox Diet, Liver Cleanse)",5,Excellent Opitons,Format: Kindle Edition,"I picked up this book because I am big believer in cutting out sodas, a proponent of kidney healthy, and overall well-being. The Author provides a long list of excellent fruit infused water recipes that will work for any a pallet. The Blueberry pineapple is my favorite and I've already bought the fruit to try some of the rest.

The book is very detailed providing you not just recipes but benefits to your health, the diets cost effectiveness, and just how simple and easy it can be to assimilate into anyone's lifestyle. An Excellent read!",20 people found this helpful,1
