,book_title,star,title,format,review,helpful,sentiment
46,Alchemy of Herbs: Transform Everyday Ingredients into Foods and Remedies That Heal,5,I really like how Rosalee de la Foret is able to explain ...,Format: Paperback,"I've been learning about and using herbs for about a year now. I really like how Rosalee de la Foret is able to explain complex ideas in a simple, understandable way. The intro chapters about energetics (both of people and of plants) are especially interesting and not something I have found in my other herb books. I've read the whole book, but as I am currently pregnant, I haven't tried many of the recipes. I do plan to make a chocolate cardamom cake this weekend, however! Be aware that many of the recipes use weird ingredients that most people don't have. You may have to buy one or two ingredients for each recipe.",2 people found this helpful,1
47,Alchemy of Herbs: Transform Everyday Ingredients into Foods and Remedies That Heal,5,An Everyday Companion,Format: Paperback,"The aesthetic quality and beautiful pictures are enough to buy this book. It goes much deeper, however, especially by giving an essential perspective by talking about the hot/cold - damp/dry of herbs and how to match them to our temperament and how it has changed in illness. It is refreshing to see how herbs can be used everyday in simple recipes instead of encapsulated or in standarized extracts. As a Naturopathic doctor, I usually use herbs in formulas along with homeopathic remedies. This is a great resource to teach me as well as my patients how to incorporate the plants around us in daily life to support health and also to heal.",2 people found this helpful,1
48,Alchemy of Herbs: Transform Everyday Ingredients into Foods and Remedies That Heal,5,Absolutely can not say enough wonderful things about this book,Format: Spiral-bound,"Absolutely can not say enough wonderful things about this book. The author doesn’t try to sell you on anything and she is a true believer in unique and individual health as a whole person and not just one miracle cure across the board. I fill my boyfriend in on all the great info in this book and evenhe thinks it’s wonderful. Easy to read and even easier to understand. Love, love, LOVE!!!",2 people found this helpful,1
49,Alchemy of Herbs: Transform Everyday Ingredients into Foods and Remedies That Heal,5,A book that you will use and use and use again.,Format: Paperback,"I love this book. It is beautiful and so very practical. In fact, when I was reading through it I realized I could make almost every recipe with the herbs I already had. I appreciate that it is more than just how to make herbal medicine, but how to incorporate herbs into your diet to promote better health. She does not neglect the healing that herbs can provide. But she makes herbs and their medicine so easy to access and use. I have already tried four different recipes and they have all been amazing. My ten year old daughter made the chia seed pudding with spiced syrup tonight by herself. Everyone is eating more herbs since we got this book last week and my husband and I are counting down the days until the hawthorn cordial is ready to sip. The content is rich, the pictures beautiful, and it is extremely user friendly. This is one herbal book that will never get dusty.",One person found this helpful,1
50,Alchemy of Herbs: Transform Everyday Ingredients into Foods and Remedies That Heal,5,A great referemce showing practical applications,Format: Paperback,"This was way beyond what I was expecting! There were two assessments to determine if you are a hot or cold type and a dry or damp type. This is something I have been trying to figure out for years! This helps with herb selection. Also her herbs are listed by type as pungent, salty, sour, bitter and sweet. This allows you to focus on the type of herbs you most frequently need. And she has provided a few recipes that use each herb or several herbs. I already have pages of notes and am now preparing to buy some herbs locally from known vendors to grow in pots at home. I have highly recommended this book to friends already just based on a few days of reading.",One person found this helpful,1
51,Alchemy of Herbs: Transform Everyday Ingredients into Foods and Remedies That Heal,5,Inspirational!,Format: Paperback,"This book has moved int my top ten ever list and as an elder that has read many, many books during my lifetime that is in my mind mighty praise. Furthermore it has inspired me to embark upon the path of learning about and becoming an herbalist as I prepare for ""retirement"" and enter a new phase of my life. Thanks, Rosalee!",3 people found this helpful,1
52,Alchemy of Herbs: Transform Everyday Ingredients into Foods and Remedies That Heal,5,he wanted it,Format: Paperback,Showed the book to a coffee shop gang friend. I told him to take it home for a couple of days and check it out. Next day he asked what I wanted (dollars) for the book. He had read other books on the subject but had never read anything so detailed that he needed to have one. I told him to give me what I paid for it and I would order another one since I was going to order other things through Amazon. That was 8 months ago and just yesterday he said he was very happy with the book cause he was reading about cumin and he learned so much on cumin. He was so amazed,,1
53,Alchemy of Herbs: Transform Everyday Ingredients into Foods and Remedies That Heal,5,Very Informative Book if you are not an Herb Expert.,Format: Paperback,"After listening to the podcast for this book I couldn't wait to preorder it. It is everything it was touted to be. It feels like a study guide for Herbs, giving their uses, benefits, matching Herbs to you not an ailment. I love how it is laid out and how each herb is described as warm or cold, damp or dry. Even the tastes of Herbs and what they mean, Pungent, Salty, Sour, Bitter, Sweet. The recipes look easy and some thing I would enjoy making and use. I will be reading this book again and again. Everyone needs a starting point, and this book is it.",One person found this helpful,1
54,Alchemy of Herbs: Transform Everyday Ingredients into Foods and Remedies That Heal,5,Awesome resource to have!,Format: Paperback,"I love this book! I've only been able to read the first chapter so far. Rosalee explains all there is to know about herbs as far as history, use by location and country, medical use by pharmaceutical company's in making medications, how they benefit us if we would use them and probably more! There is guidance about every herb and recipes to use. I'm excited that I got this book and I think it will help me get well!",2 people found this helpful,1
56,Alchemy of Herbs: Transform Everyday Ingredients into Foods and Remedies That Heal,5,Excellent,Format: Kindle Edition,"Excellent book for beginners and seasoned herbalists alike. Rosalee's way of teaching about working with the herbs is easy to understand but filled with so much great knowledge. She has given me a new way of approaching matching herbs with people. No more cookie cutter herbalism here. This book is also a great companion for taking her herb class Taste of Herbs, through Learning Herbs!!!",One person found this helpful,1
57,Alchemy of Herbs: Transform Everyday Ingredients into Foods and Remedies That Heal,5,It is packed with easily accessible information that will appeal to everyone,Format: Paperback,"I can't say enough about this book. It is packed with easily accessible information that will appeal to everyone. Rosalee takes the mystery out of using herbs in everyday meals in ways that are delicious, simple and healing and I learn something new with every page! I made the Peppery Borscht the day after I got the book and it was an explosion of colors and flavors... After dinner, I kept thinking that I couldn't wait to get hungry enough to eat more (by the way, it makes a lovely breakfast). I also served a young friend a bowl the next day. He raved about it and was surprised to know that it had beets in it because, according to him, he hates beets (but not now). He couldn't put the book down so I immediately ordered him his own copy (he'd just helped fix our wind storm damaged fence). Now he can't wait to incorporate those recipes at his work as a cook at a Senior care facility! I have a feeling I'll be re-ordering this book on a regular basis for friends and family.",One person found this helpful,1
58,Alchemy of Herbs: Transform Everyday Ingredients into Foods and Remedies That Heal,5,Beautifully Written!,Format: Paperback,"Rosalee has knocked it out of the park with her first book. Alchemy is well researched, written in layman's terms, and covers individual herbs very thoroughly from the latin and common names, to individual plant energetics and how they affect the body. She has included easy recipes for both culinary and therapeutic use and included contraindications and side effects. This book is designed to be an easy reference for a quick reminder or a transition to deeper study. It will be a well thumbed, marked up reference in a place of honor taking up precious counter space in my tiny kitchen.",One person found this helpful,1
59,Alchemy of Herbs: Transform Everyday Ingredients into Foods and Remedies That Heal,5,"I hope you have more books like this coming, it is brilliant.",Format: Paperback,"This book has beautiful photographs and contains so much usable information. It is great to have an herbal book that is more than just identification or complicated recipes. It is instantly usable, practical and will allow an easy, joyful way to add increased nutrition to everyday foods. I started adding more pepper to my meals knowing I was increasing the availability and absorption of vital nutrients from my foods, I put cinnamon in my tea. She has 100's of simple ways to maintain and increase health. Way to to go Rosalee, when is the next book?",One person found this helpful,1
60,Alchemy of Herbs: Transform Everyday Ingredients into Foods and Remedies That Heal,5,WOW! A must for anyone into herbs!,Format: Paperback,"Fantastic book! Easy to read and understand. I’ve been interested in herbs for a long time but all the information out there can be so confusing. I watched a few of Rosalee’s videos and she has a way of explaining things that makes it much easier to understand. She teaches how everyone is so different. And how one herb may work well for an individual, but not for another and why. When she came out with this book, I ordered ahead and was just expected a small rundown about herbs. WOW! I was completely surprised to see such details, beautiful pictures, recipes…and for the price I paid, this book is unbelievably great! I highly recommend this whether you are just beginning with herbs or seasoned in knowledge. A must for any bookshelf.",One person found this helpful,1
61,Alchemy of Herbs: Transform Everyday Ingredients into Foods and Remedies That Heal,5,Will become a well used favorite book.,Format: Paperback,"I wasn't sure when I ordered this book, but was hoping it would be a good addition to my small library. Wow, this is so much more than I had hoped for. Rosalee is not only knowledgeable about her subject, but knows how to teach. Beautiful pictures and written in an easy to understand way, with recipes that I feel I will use. This book will not sit long on my self with my small library, it will be on my table being used.",2 people found this helpful,1
62,Alchemy of Herbs: Transform Everyday Ingredients into Foods and Remedies That Heal,5,Beautiful inside and out..,Format: Paperback,"This book is gorgeous to behold, and then I opened it. It's even more beautiful on the inside. It's written beautifully, it's engaging, and I instantly want to try every recipe. The photos inside are beautiful, and I feel like a pseudo-herbalist just for having it on my coffee table. I own a few other herbal books which contain lots of information, but with this book, the author is able to describe each herb so personally and energetically, that I feel like I'm learning about long lost friends I need to keep near and dear.",One person found this helpful,1
63,Alchemy of Herbs: Transform Everyday Ingredients into Foods and Remedies That Heal,5,Life changing reference book,Format: Paperback,"This book has already become invaluable in my pursuit of understanding herbs and implementing them into my family's every life. The chapters and information is so well organized. I've always wanted to get more into herbs but I was overwhelmed by the information that's out there. To be able to look up a specific herb (whether it's because I want to know about that herb or am looking for a specific purpose/ailment) and then be able to learn the history, medicinal uses, everyday uses, and discover easy to follow recipes has been life changing! She took a subject that can really benefit you but can be hard to understand and created a way to make it an easy part of your lifestyle. Discovering the health benefits of natural products needs to always be this entertaining and user-friendly!",,1
64,Alchemy of Herbs: Transform Everyday Ingredients into Foods and Remedies That Heal,4,A Good Book for my Hebal Shelf!,Format: Paperback,"Beautiful book, without a doubt. There's a lot of useful information alongside stunning photographs!

There's a lot on information in this book, perfect for a beginner like myself. I love the recipes and look forward to making Carrot Cake tomorrow!

While this book is full of information I do with she included a little bit about what environments the various herbs grow. That way I could easily decide if I wanted to do further research to grow them myself.",2 people found this helpful,1
65,Alchemy of Herbs: Transform Everyday Ingredients into Foods and Remedies That Heal,5,A great read for my introduction into understanding and using herbs,Format: Paperback,"A great read for my introduction into understanding and using herbs. Don't be misled that it is a paperback as the paperwork is high quality, photos beautiful and the writing superb, Rosalee has done wonderful photography and her writing is outstanding, clear and easy to understand. A great resource for improving my health and making foods healthy and tasty as well, from common herbs and spices I use every day to new things to learn how to use. I have received much benefit from the information. Was impressed with the low price. I recommend it in every way.",One person found this helpful,1
337,Alchemy of Herbs: Transform Everyday Ingredients into Foods and Remedies That Heal,5,Five Stars,Format: Paperback,such an inspiring & well written book.,,1
338,Alchemy of Herbs: Transform Everyday Ingredients into Foods and Remedies That Heal,5,LOVE THIS BOOK!,Format: Paperback,"Great book for everyone interested in what goes into their bodies, tons of helpful information... tasty food recipes, infusions,teas, body care etc....AWESOME..",,1
339,Alchemy of Herbs: Transform Everyday Ingredients into Foods and Remedies That Heal,5,Five Stars,Format: Paperback,Very nice book that arrived promptly and in great condition. Thanks!,,1
340,Alchemy of Herbs: Transform Everyday Ingredients into Foods and Remedies That Heal,5,I love this book,Format: Paperback,"I love this book! Not only is it full of super easy to use recipes that make using herbs super practical for every day life, but this book is BEAUTIFUL. I love the photography, the recipes, the descriptions of all the herbs. I have so enjoyed just curling up on the couch for evening reading and taking it into the kitchen to put it into action!",,1
341,Alchemy of Herbs: Transform Everyday Ingredients into Foods and Remedies That Heal,5,A must have for your herbalism collection!,Format: Kindle Edition,"Very informative with lots of classes, videos and a group.",,1
342,Alchemy of Herbs: Transform Everyday Ingredients into Foods and Remedies That Heal,5,Five Stars,Format: Paperback,"i LOVE this book, definitely a great addition to my herbal collection",,1
343,Alchemy of Herbs: Transform Everyday Ingredients into Foods and Remedies That Heal,5,Will be my go to for herbal use,Format: Paperback,"Very informative and cover so many herbs. Gives its properties,what it is used for with suggested recipes for food use and formulations for body products, etc.",,1
344,Alchemy of Herbs: Transform Everyday Ingredients into Foods and Remedies That Heal,5,Aa Amazing resource.,Format: Paperback,This book is all that it promises and more. I am learning so much and Rosalee's insight is incredible. Thank you for taking the time to write this for us.,,1
345,Alchemy of Herbs: Transform Everyday Ingredients into Foods and Remedies That Heal,5,WOW,Format: Paperback,"Alchemy of Herbs is fantastic. One of the best Herbals book I've ever seen. The format is perfect, organized so everything is easy to understand and a lot of great herbal recipes.",,1
346,Alchemy of Herbs: Transform Everyday Ingredients into Foods and Remedies That Heal,5,Interesting Read Thus Far,Format: Paperback,Excited to delve into this one. I've read the first five chapters and already learned so much.,,1
348,Alchemy of Herbs: Transform Everyday Ingredients into Foods and Remedies That Heal,5,So many practical recipes!,Format: Paperback,Beautifully illustrations and photographs. Love the recipes and ease of use. Definitely one of my favorite herbs books. So many practical recipes!,,1
349,Alchemy of Herbs: Transform Everyday Ingredients into Foods and Remedies That Heal,5,Great Reference & Very Insightful,Format: Paperback,"What give this book credence is Rosalee's statement.. and I'm paraphrasing.. There is not one ""cure"" all, it's all individual. along with getting to the root what is creating the problem and not just treating the symptom. Thank you,Rosalee, I plan on using this as my go to reference book along with Back to Eden.",,1
350,Alchemy of Herbs: Transform Everyday Ingredients into Foods and Remedies That Heal,5,Five Stars,Format: Paperback,"Wow a great reference, learned a bunch already forgot most advice is great.",,1
351,Alchemy of Herbs: Transform Everyday Ingredients into Foods and Remedies That Heal,5,Love this book,Format: Paperback,"Well written, beautiful photography, lots of yummy recipes. Anyone interested in using herbs should have a copy.",,1
